weight_F	weight_M			분산의 동질성 검정		F-검정: 분산에 대한 두 집단			
3837	3554			: 분산에 대한 두 집단 :F 검정					
3334	3838						weight_F	weight_M	
2208	3625					평균	3132.444444	3375.307692	
1745	2846					분산	398896.4967	183223.4215	
2576	3166					관측수	18	26	
3208	3520					자유도	17	25	
3746	3380					F 비	2.177104288		
3523	3294					P(F<=f) 단측 검정	0.03763131		p값이 0.05보다 이상으로 차이가 없다(분산이 동질하다)
3430	3521					F 기각치: 단측 검정	2.05132309		
3480	2902								
3116	2635								
3428	3920					t-검정: 등분산 가정 두 집단			
2184	3690								
2383	3783						weight_F	weight_M	
3500	3345					평균	3132.444444	3375.307692	
3866	3034					분산	398896.4967	183223.4215	
3542	3300					관측수	18	26	
3278	3428					공동(Pooled) 분산	270519.6663		
	4162					가설 평균차	0		
	3630					자유도	42		
	3406					t 통계량	-1.522856444		
	3402					P(T<=t) 단측 검정	0.067644595		
	3736					t 기각치 단측 검정	1.681952357		
	3370					P(T<=t) 양측 검정	0.135289189		p값이 0.05이상으로 통계적으로 평균의 차이가 없다
	2121					t 기각치 양측 검정	2.018081703		
	3150								
